madrid 4 1 25 6333 26379.75
madrid 4 1 25 3427 0
madrid 4 1 25 2090 0
madrid 4 1 25 5886 0
madrid 4 1 25 8331 26043.0
madrid 4 1 25 5496 4114.0
madrid 4 1 25 6241 25831.0
madrid 4 1 25 254 5846.0
madrid 4 1 25 8627 28761.0
madrid 4 1 25 1744 0
madrid 4 1 25 3701 0
madrid 4 1 25 1566 23105.0
madrid 4 1 25 2298 0
madrid 4 1 25 4399 2927.5
madrid 4 1 25 6193 3915.0
madrid 4 1 25 305 0
madrid 4 1 25 7661 0
madrid 4 1 25 5083 0
madrid 4 1 25 7290 24861.0
madrid 4 1 25 7173 0
madrid 4 1 25 1879 0
madrid 4 1 25 8197 0
madrid 4 1 25 5597 0
madrid 4 1 25 2647 38662.5
madrid 4 1 25 4728 0
madrid 4 1 25 2679 4826.75
madrid 4 1 25 2275 0
madrid 4 1 25 8924 0
madrid 4 1 25 7549 0
madrid 4 1 25 5261 14039.0
madrid 4 1 25 4202 0
madrid 4 1 25 287 8628.0
madrid 4 1 25 4979 0
madrid 4 1 25 1343 35691.0
madrid 4 1 25 5685 0
madrid 4 1 25 4644 0
madrid 4 1 25 7821 0
madrid 4 1 25 1446 6920.0
madrid 4 1 25 8304 10835.0
madrid 4 1 25 4609 2912.0
madrid 4 1 25 8882 32145.0
madrid 4 1 25 5790 0
madrid 4 1 25 5132 0
madrid 4 1 25 7074 29489.0
madrid 4 1 25 3860 0
madrid 4 1 25 8488 0
madrid 4 1 25 6663 0
madrid 4 1 25 7941 57024.0
madrid 4 1 25 3788 0
madrid 4 1 25 5720 2248.5
madrid 4 1 25 3707 0
madrid 4 1 25 8683 0
madrid 4 1 25 6792 0
madrid 4 1 25 4193 0
madrid 4 1 25 3007 5878.0
madrid 4 1 25 3466 0
madrid 4 1 25 1646 4321.5
madrid 4 1 25 778 0
madrid 4 1 25 872 2520.0
madrid 4 1 25 5630 0
madrid 4 1 25 416 0
madrid 4 1 25 4171 0
madrid 4 1 25 162 0
madrid 4 1 25 1325 0
madrid 4 1 25 306 2015.0
madrid 4 1 25 226 30458.0
madrid 4 1 25 6975 0
madrid 4 1 25 3625 5695.0
madrid 4 1 25 8818 0
madrid 4 1 25 7048 0
madrid 4 1 25 8451 0
madrid 4 1 25 1747 50555.0
madrid 4 1 25 9028 0
madrid 4 1 25 8580 12471.0
madrid 4 1 25 5604 5876.75
madrid 4 1 25 1193 0
madrid 4 1 25 1341 22316.5
madrid 4 1 25 8588 0
madrid 4 1 25 7383 0
madrid 4 1 25 1478 12471.75
madrid 4 1 25 8783 1692.0
madrid 4 1 25 5457 0
madrid 4 1 25 8608 0
madrid 4 1 25 3967 1515.25
madrid 4 1 25 8307 0
madrid 4 1 25 5307 0
madrid 4 1 25 5857 0
madrid 4 1 25 6589 37144.0
madrid 4 1 25 2675 0
madrid 4 1 25 1461 0
madrid 4 1 25 1606 48827.0
madrid 4 1 25 5813 0
madrid 4 1 25 323 0
madrid 4 1 25 3384 0
madrid 4 1 25 2706 0
madrid 4 1 25 5488 0
madrid 4 1 25 1951 0
madrid 4 1 25 7515 0
madrid 4 1 25 991 0
madrid 4 1 25 7760 33467.0
madrid 4 1 25 2385 0
madrid 4 1 25 2037 0
madrid 4 1 25 5050 0
madrid 4 1 25 5710 0
madrid 4 1 25 8207 0
madrid 4 1 25 913 35839.0
madrid 4 1 25 2753 0
madrid 4 1 25 3575 6364.0
madrid 4 1 25 5067 0
madrid 4 1 25 7018 16460.0
madrid 4 1 25 3439 0
madrid 4 1 25 3265 0
madrid 4 1 25 3887 14010.0
madrid 4 1 25 69 0
madrid 4 1 25 8732 11328.0
madrid 4 1 25 6771 0
madrid 4 1 25 8205 0
madrid 4 1 25 5853 0
madrid 4 1 25 4886 25131.0
madrid 4 1 25 7724 0
madrid 4 1 25 4956 32061.0
madrid 4 1 25 7443 7530.0
madrid 4 1 25 8667 13878.0
madrid 4 1 25 8626 0
madrid 4 1 25 7539 0
madrid 4 1 25 8052 45230.25
madrid 4 1 25 4919 18414.0
madrid 4 1 25 4818 0
madrid 4 1 25 5304 39508.0
madrid 4 1 25 7003 0
madrid 4 1 25 7543 0
madrid 4 1 25 5431 4982.75
madrid 4 1 25 2541 11436.0
madrid 4 1 25 7266 0
madrid 4 1 25 1437 0
madrid 4 1 25 2463 18138.0
madrid 4 1 25 1303 2737.0
madrid 4 1 25 1108 54034.25
madrid 4 1 25 3811 0
madrid 4 1 25 2386 8328.25
madrid 4 1 25 8226 65017.0
madrid 4 1 25 4942 0
madrid 4 1 25 963 18537.0
madrid 4 1 25 5826 0
madrid 4 1 25 1253 28372.25
madrid 4 1 25 2751 0
madrid 4 1 25 3510 0
madrid 4 1 25 7772 0
madrid 4 1 25 3321 36432.0
madrid 4 1 25 8922 0
madrid 4 1 25 4539 0
madrid 4 1 25 6352 0
madrid 4 1 25 4006 0
madrid 4 1 25 7735 0
madrid 4 1 25 3462 39468.0
madrid 4 1 25 6828 0
madrid 4 1 25 6409 1722.0
madrid 4 1 25 1021 0
madrid 4 1 25 6946 0
madrid 4 1 25 4559 0
madrid 4 1 25 3601 0
madrid 4 1 25 216 0
madrid 4 1 25 1593 0
madrid 4 1 25 6122 11715.0
madrid 4 1 25 7403 0
madrid 4 1 25 5140 16560.0
madrid 4 1 25 4557 0
madrid 4 1 25 4181 11582.0
madrid 4 1 25 5069 0
madrid 4 1 25 381 0
madrid 4 1 25 410 0
madrid 4 1 25 88 0
madrid 4 1 25 6090 14967.0
madrid 4 1 25 979 0
madrid 4 1 25 6747 0
madrid 4 1 25 1964 0
madrid 4 1 25 1913 38060.0
madrid 4 1 25 4500 55815.0
madrid 4 1 25 6562 40116.0
madrid 4 1 25 4974 0
madrid 4 1 25 8397 21671.0
madrid 4 1 25 5757 0
madrid 4 1 25 2974 38262.5
madrid 4 1 25 1299 0
madrid 4 1 25 7999 0
madrid 4 1 25 8779 0
madrid 4 1 25 2438 0
madrid 4 1 25 2639 0
madrid 4 1 25 986 0
madrid 4 1 25 8652 0
madrid 4 1 25 222 48498.25
madrid 4 1 25 6495 2256.0
madrid 4 1 25 4502 0
madrid 4 1 25 626 0
madrid 4 1 25 2328 0
madrid 4 1 25 1985 0
madrid 4 1 25 6680 20707.0
madrid 4 1 25 746 0
madrid 4 1 25 2579 9617.0
madrid 4 1 25 7934 31789.25
madrid 4 1 25 8076 6944.0
madrid 4 1 25 8815 0
madrid 4 1 25 3371 17038.0
madrid 4 1 25 2399 0
madrid 4 1 25 1222 29782.25
madrid 4 1 25 2478 16952.0
madrid 4 1 25 8664 17865.0
madrid 4 1 25 415 0
madrid 4 1 25 4427 0
madrid 4 1 25 1680 0
madrid 4 1 25 2030 80451.75
madrid 4 1 25 7623 1780.0
madrid 4 1 25 4806 0
madrid 4 1 25 5442 13855.0
madrid 4 1 25 4738 0
madrid 4 1 25 1997 40293.25
madrid 4 1 25 5888 0
madrid 4 1 25 5172 3428.25
madrid 4 1 25 1802 0
madrid 4 1 25 8431 0
madrid 4 1 25 3696 0
madrid 4 1 25 3272 0
madrid 4 1 25 4842 48758.0
madrid 4 1 25 7664 0
madrid 4 1 25 1946 52135.0
madrid 4 1 25 194 35107.0
madrid 4 1 25 3114 23181.25
madrid 4 1 25 8541 32441.0
madrid 4 1 25 3059 53209.25
madrid 4 1 25 450 35379.0
madrid 4 1 25 7209 0
madrid 4 1 25 8295 0
madrid 4 1 25 3781 0
madrid 4 1 25 1679 0
madrid 4 1 25 2363 0
madrid 4 1 25 25 3216.0
madrid 4 1 25 3323 22474.0
madrid 4 1 25 8830 14184.0
madrid 4 1 25 8135 23287.0
madrid 4 1 25 5663 0
madrid 4 1 25 4992 0
madrid 4 1 25 1925 0
madrid 4 1 25 667 16060.0
madrid 4 1 25 1009 0
madrid 4 1 25 1805 5559.0
madrid 4 1 25 403 6544.0
madrid 4 1 25 1781 0
madrid 4 1 25 6883 0
madrid 4 1 25 5910 34352.0
madrid 4 1 25 3559 0
madrid 4 1 25 7140 0
madrid 4 1 25 7230 0
madrid 4 1 25 6732 13143.0
madrid 4 1 25 2945 42489.0
madrid 4 1 25 3030 36065.0
madrid 4 1 25 7267 0
madrid 4 1 25 252 0
madrid 4 1 25 5065 0
madrid 4 1 25 6097 0
madrid 4 1 25 1090 60667.0
madrid 4 1 25 3713 9782.75
madrid 4 1 25 722 0
madrid 4 1 25 5979 2961.75
madrid 4 1 25 3419 0
madrid 4 1 25 9008 0
madrid 4 1 25 1424 0
madrid 4 1 25 3919 14725.0
madrid 4 1 25 1722 0
madrid 4 1 25 822 0
madrid 4 1 25 3336 0
madrid 4 1 25 6479 0
madrid 4 1 25 449 30678.25
madrid 4 1 25 3127 0
madrid 4 1 25 6450 5116.5
madrid 4 1 25 431 0
madrid 4 1 25 7059 0
madrid 4 1 25 8319 0
madrid 4 1 25 2717 74924.25
madrid 4 1 25 2196 0
madrid 4 1 25 414 0
madrid 4 1 25 8020 23181.0
madrid 4 1 25 1905 1988.25
madrid 4 1 25 2088 0
madrid 4 1 25 8753 18808.0
madrid 4 1 25 1126 0
madrid 4 1 25 6966 0
madrid 4 1 25 6689 27503.75
madrid 4 1 25 5097 0
madrid 4 1 25 8330 42868.0
madrid 4 1 25 1416 0
madrid 4 1 25 8721 0
madrid 4 1 25 6010 0
madrid 4 1 25 2757 0
madrid 4 1 25 1800 0
madrid 4 1 25 6903 0
madrid 4 1 25 33 13798.0
madrid 4 1 25 4238 0
madrid 4 1 25 2156 0
madrid 4 1 25 8698 6724.925925925926
madrid 4 1 25 4203 0
madrid 4 1 25 7581 5137.25
madrid 4 1 25 1982 0
madrid 4 1 25 4822 0
madrid 4 1 25 6012 0
madrid 4 1 25 2423 16811.5
madrid 4 1 25 828 46457.0
madrid 4 1 25 2874 0
madrid 4 1 25 1550 0
madrid 4 1 25 3334 0
madrid 4 1 25 439 0
madrid 4 1 25 4442 39118.0
madrid 4 1 25 2018 0
madrid 4 1 25 184 1419.25
madrid 4 1 25 6606 26690.25
madrid 4 1 25 8583 10284.0
madrid 4 1 25 8892 0
madrid 4 1 25 2609 18152.0
madrid 4 1 25 3551 75789.0
madrid 4 1 25 3438 0
madrid 4 1 25 8917 13959.0
madrid 4 1 25 687 10775.0
madrid 4 1 25 2332 0
madrid 4 1 25 7486 0
madrid 4 1 25 7147 0
madrid 4 1 25 6769 0
madrid 4 1 25 4467 0
madrid 4 1 25 269 1231.0
madrid 4 1 25 7563 0
madrid 4 1 25 3015 0
madrid 4 1 25 8478 0
madrid 4 1 25 5603 1953.25
madrid 4 1 25 3683 0
madrid 4 1 25 5792 0
madrid 4 1 25 8100 11802.5
madrid 4 1 25 8518 0
madrid 4 1 25 4038 9311.0
madrid 4 1 25 3036 39936.0
madrid 4 1 25 1148 0
madrid 4 1 25 2421 5858.5
madrid 4 1 25 3794 0
madrid 4 1 25 2783 0
madrid 4 1 25 566 20036.0
madrid 4 1 25 875 9153.5
madrid 4 1 25 6041 40421.0
madrid 4 1 25 8416 0
madrid 4 1 25 6712 0
madrid 4 1 25 4387 7476.0
madrid 4 1 25 8374 10428.0
madrid 4 1 25 6736 35356.0
madrid 4 1 25 3775 0
madrid 4 1 25 2621 0
madrid 4 1 25 7283 0
madrid 4 1 25 8077 7082.0
madrid 4 1 25 8839 0
madrid 4 1 25 7355 0
madrid 4 1 25 1406 21094.0
madrid 4 1 25 6203 0
madrid 4 1 25 7200 0
madrid 4 1 25 6640 15120.0
madrid 4 1 25 8254 0
madrid 4 1 25 8510 10730.0
madrid 4 1 25 2890 20436.0
madrid 4 1 25 1014 0
madrid 4 1 25 2098 0
madrid 4 1 25 5264 22573.75
madrid 4 1 25 3526 0
madrid 4 1 25 2324 0
madrid 4 1 25 4321 35628.0
madrid 4 1 25 4930 59338.0
madrid 4 1 25 493 0
madrid 4 1 25 3344 35073.0
madrid 4 1 25 1134 21071.75
madrid 4 1 25 5635 1177.0
madrid 4 1 25 1288 9891.0
madrid 4 1 25 949 0
madrid 4 1 25 2700 0
madrid 4 1 25 3993 0
madrid 4 1 25 4057 15596.75
madrid 4 1 25 3400 5661.0
madrid 4 1 25 854 0
madrid 4 1 25 5640 27588.25
madrid 4 1 25 5444 38004.0
madrid 4 1 25 4588 0
madrid 4 1 25 6453 992.0
madrid 4 1 25 8950 0
madrid 4 1 25 6593 9496.0
madrid 4 1 25 395 8481.0
madrid 4 1 25 8273 21129.75
madrid 4 1 25 1664 0
madrid 4 1 25 3179 6304.0
madrid 4 1 25 6729 24332.0
madrid 4 1 25 3167 33929.5
madrid 4 1 25 98 3434.75
melbourne 4 1 25 1172 1938.0
melbourne 4 1 25 571 4968.0
melbourne 4 1 25 2419 4700.5
melbourne 4 1 25 6563 2020.0
melbourne 4 1 25 1794 651.0
melbourne 4 1 25 8030 0
melbourne 4 1 25 8319 0
melbourne 4 1 25 2659 0
melbourne 4 1 25 7936 0
melbourne 4 1 25 6269 0
melbourne 4 1 25 7838 1381.0
melbourne 4 1 25 852 0
melbourne 4 1 25 7084 0
melbourne 4 1 25 7382 0
melbourne 4 1 25 5980 5248.0
melbourne 4 1 25 5184 4287.0
melbourne 4 1 25 3443 0
melbourne 4 1 25 6640 0
melbourne 4 1 25 1669 0
melbourne 4 1 25 3759 4210.0
melbourne 4 1 25 768 0
melbourne 4 1 25 8925 518.0
melbourne 4 1 25 1222 1671.0
melbourne 4 1 25 6082 0
melbourne 4 1 25 6542 0
melbourne 4 1 25 7031 0
melbourne 4 1 25 4808 0
melbourne 4 1 25 4707 7124.0
melbourne 4 1 25 1330 1698.0
melbourne 4 1 25 7294 0
melbourne 4 1 25 4141 4741.0
melbourne 4 1 25 4964 4706.0
melbourne 4 1 25 3356 0
melbourne 4 1 25 2668 0
melbourne 4 1 25 3640 4136.0
melbourne 4 1 25 7614 7950.0
melbourne 4 1 25 7043 0
melbourne 4 1 25 908 0
melbourne 4 1 25 7620 9395.0
melbourne 4 1 25 3130 0
melbourne 4 1 25 2005 6085.0
melbourne 4 1 25 5982 0
melbourne 4 1 25 4822 864.0
melbourne 4 1 25 1803 1568.0
melbourne 4 1 25 573 7877.0
melbourne 4 1 25 466 5391.0
melbourne 4 1 25 6798 0
melbourne 4 1 25 7817 0
melbourne 4 1 25 7311 2497.0
melbourne 4 1 25 8153 0
melbourne 4 1 25 9019 0
melbourne 4 1 25 8824 9344.0
melbourne 4 1 25 5113 0
melbourne 4 1 25 1640 0
melbourne 4 1 25 8914 2264.0
melbourne 4 1 25 359 15406.5
melbourne 4 1 25 3291 10350.0
melbourne 4 1 25 4146 2728.0
melbourne 4 1 25 6981 3065.0
melbourne 4 1 25 5466 7154.0
melbourne 4 1 25 6227 0
melbourne 4 1 25 1679 3206.0
melbourne 4 1 25 3478 0
melbourne 4 1 25 2370 0
melbourne 4 1 25 5584 0
melbourne 4 1 25 6431 1331.0
melbourne 4 1 25 5042 0
melbourne 4 1 25 896 0
melbourne 4 1 25 760 0
melbourne 4 1 25 3786 0
melbourne 4 1 25 6852 7558.0
melbourne 4 1 25 6638 0
melbourne 4 1 25 8071 0
melbourne 4 1 25 6510 0
melbourne 4 1 25 8095 1862.0
melbourne 4 1 25 1736 6481.5
melbourne 4 1 25 220 3597.0
melbourne 4 1 25 6857 0
melbourne 4 1 25 1219 6406.0
melbourne 4 1 25 2512 0
melbourne 4 1 25 4411 1614.0
melbourne 4 1 25 7417 6213.0
melbourne 4 1 25 4785 2228.0
melbourne 4 1 25 2487 0
melbourne 4 1 25 3827 0
melbourne 4 1 25 3578 0
melbourne 4 1 25 6797 0
melbourne 4 1 25 8864 438.0
melbourne 4 1 25 1867 11904.0
melbourne 4 1 25 5026 0
melbourne 4 1 25 4167 0
melbourne 4 1 25 2790 0
melbourne 4 1 25 875 4342.0
melbourne 4 1 25 5571 0
melbourne 4 1 25 522 264.0
melbourne 4 1 25 7063 1133.0
melbourne 4 1 25 8484 0
melbourne 4 1 25 1339 7680.0
melbourne 4 1 25 7656 2364.0
melbourne 4 1 25 195 10939.0
melbourne 4 1 25 7593 0
melbourne 4 1 25 1626 0
melbourne 4 1 25 6832 0
melbourne 4 1 25 5929 0
melbourne 4 1 25 6697 440.0
melbourne 4 1 25 7235 441.0
melbourne 4 1 25 480 0
melbourne 4 1 25 997 0
melbourne 4 1 25 8163 0
melbourne 4 1 25 5750 0
melbourne 4 1 25 8065 0
melbourne 4 1 25 2507 4836.25
melbourne 4 1 25 4951 8398.0
melbourne 4 1 25 4698 0
melbourne 4 1 25 886 13090.0
melbourne 4 1 25 575 11539.0
melbourne 4 1 25 2465 0
melbourne 4 1 25 773 0
melbourne 4 1 25 5122 6802.0
melbourne 4 1 25 6449 2250.0
melbourne 4 1 25 5161 1848.0
melbourne 4 1 25 7412 3541.0
melbourne 4 1 25 5599 1202.0
melbourne 4 1 25 7957 0
melbourne 4 1 25 5873 2052.0
melbourne 4 1 25 3002 0
melbourne 4 1 25 3862 0
melbourne 4 1 25 8743 8980.0
melbourne 4 1 25 7033 421.0
melbourne 4 1 25 577 11259.0
melbourne 4 1 25 814 801.0
melbourne 4 1 25 1832 12522.0
melbourne 4 1 25 6592 3252.0
melbourne 4 1 25 6349 0
melbourne 4 1 25 8217 0
melbourne 4 1 25 6217 0
melbourne 4 1 25 5209 9526.0
melbourne 4 1 25 1768 577.0
melbourne 4 1 25 3575 0
melbourne 4 1 25 6703 0
melbourne 4 1 25 7159 0
melbourne 4 1 25 1072 0
melbourne 4 1 25 2358 0
melbourne 4 1 25 9011 0
melbourne 4 1 25 1066 0
melbourne 4 1 25 4271 0
melbourne 4 1 25 2657 0
melbourne 4 1 25 3041 0
melbourne 4 1 25 1349 438.0
melbourne 4 1 25 2338 6565.25
melbourne 4 1 25 3631 9100.0
melbourne 4 1 25 5335 0
melbourne 4 1 25 4660 4554.25
melbourne 4 1 25 8988 0
melbourne 4 1 25 5465 6649.0
melbourne 4 1 25 7260 0
melbourne 4 1 25 8383 0
melbourne 4 1 25 6898 3180.0
melbourne 4 1 25 3046 0
melbourne 4 1 25 3636 1123.0
melbourne 4 1 25 5561 6723.0
melbourne 4 1 25 7599 0
melbourne 4 1 25 6226 0
melbourne 4 1 25 5844 0
melbourne 4 1 25 1990 4790.5
melbourne 4 1 25 5775 2830.0
melbourne 4 1 25 2402 0
melbourne 4 1 25 8782 4628.75
melbourne 4 1 25 1301 458.0
melbourne 4 1 25 3351 0
melbourne 4 1 25 5828 0
melbourne 4 1 25 241 0
melbourne 4 1 25 7557 0
melbourne 4 1 25 2355 0
melbourne 4 1 25 1206 0
melbourne 4 1 25 5881 0
melbourne 4 1 25 2624 0
melbourne 4 1 25 6896 8517.5
melbourne 4 1 25 4621 0
melbourne 4 1 25 2304 1701.0
melbourne 4 1 25 1440 1100.0
melbourne 4 1 25 8221 8184.0
melbourne 4 1 25 3260 0
melbourne 4 1 25 6540 414.0
melbourne 4 1 25 1331 5209.75
melbourne 4 1 25 4668 0
melbourne 4 1 25 6264 0
melbourne 4 1 25 5066 0
melbourne 4 1 25 542 0
melbourne 4 1 25 7732 0
melbourne 4 1 25 5971 0
melbourne 4 1 25 1517 0
melbourne 4 1 25 7216 0
melbourne 4 1 25 1036 0
melbourne 4 1 25 3242 4993.0
melbourne 4 1 25 4893 0
melbourne 4 1 25 5282 0
melbourne 4 1 25 2488 0
melbourne 4 1 25 873 4005.25
melbourne 4 1 25 6914 0
melbourne 4 1 25 8485 0
melbourne 4 1 25 1327 0
melbourne 4 1 25 3251 3611.0
melbourne 4 1 25 4766 0
melbourne 4 1 25 2675 224.0
melbourne 4 1 25 8993 2857.0
melbourne 4 1 25 6886 0
melbourne 4 1 25 5574 0
melbourne 4 1 25 8299 0
melbourne 4 1 25 5190 9251.0
melbourne 4 1 25 4 0
melbourne 4 1 25 5987 487.0
melbourne 4 1 25 6109 0
melbourne 4 1 25 3482 522.0
melbourne 4 1 25 1632 0
melbourne 4 1 25 8354 4456.25
melbourne 4 1 25 5459 0
melbourne 4 1 25 3391 0
melbourne 4 1 25 6407 0
melbourne 4 1 25 829 0
melbourne 4 1 25 4311 4165.25
melbourne 4 1 25 7863 0
melbourne 4 1 25 2575 0
melbourne 4 1 25 19 5163.0
melbourne 4 1 25 5615 0
melbourne 4 1 25 7115 0
melbourne 4 1 25 1243 0
melbourne 4 1 25 7147 0
melbourne 4 1 25 8143 8210.0
melbourne 4 1 25 1926 0
melbourne 4 1 25 1270 1050.0
melbourne 4 1 25 6263 0
melbourne 4 1 25 3205 9610.0
melbourne 4 1 25 3592 3698.0
melbourne 4 1 25 6781 0
melbourne 4 1 25 3948 0
melbourne 4 1 25 5499 0
melbourne 4 1 25 6662 0
melbourne 4 1 25 2621 0
melbourne 4 1 25 4789 12112.0
melbourne 4 1 25 787 5412.0
melbourne 4 1 25 1809 0
melbourne 4 1 25 4194 5028.0
melbourne 4 1 25 2044 3588.0
melbourne 4 1 25 623 7449.0
melbourne 4 1 25 8245 0
melbourne 4 1 25 4722 0
melbourne 4 1 25 5680 457.0
melbourne 4 1 25 5265 0
melbourne 4 1 25 5107 0
melbourne 4 1 25 2619 0
melbourne 4 1 25 8837 0
melbourne 4 1 25 2597 0
melbourne 4 1 25 270 2302.25
melbourne 4 1 25 5624 0
melbourne 4 1 25 5094 7066.0
melbourne 4 1 25 4506 0
melbourne 4 1 25 6545 0
melbourne 4 1 25 6182 714.0
melbourne 4 1 25 5876 0
melbourne 4 1 25 3344 1464.0
melbourne 4 1 25 5513 732.0
melbourne 4 1 25 5725 11958.0
melbourne 4 1 25 3887 9979.25
melbourne 4 1 25 7622 0
melbourne 4 1 25 4306 1814.0
melbourne 4 1 25 4977 0
melbourne 4 1 25 7184 5926.0
melbourne 4 1 25 6463 3787.0
melbourne 4 1 25 157 0
melbourne 4 1 25 6025 0
melbourne 4 1 25 5797 0
melbourne 4 1 25 4802 0
melbourne 4 1 25 6384 6481.0
melbourne 4 1 25 1606 6951.0
melbourne 4 1 25 201 0
melbourne 4 1 25 3972 2710.0
melbourne 4 1 25 971 12123.0
melbourne 4 1 25 6450 2298.0
melbourne 4 1 25 4662 0
melbourne 4 1 25 4948 4292.0
melbourne 4 1 25 7786 5608.0
melbourne 4 1 25 6424 0
melbourne 4 1 25 5863 4140.0
melbourne 4 1 25 4784 0
melbourne 4 1 25 7207 519.0
melbourne 4 1 25 7784 3054.0
melbourne 4 1 25 3929 8419.0
melbourne 4 1 25 1975 1312.0
melbourne 4 1 25 1503 0
melbourne 4 1 25 1271 8000.5
melbourne 4 1 25 5848 0
melbourne 4 1 25 2921 0
melbourne 4 1 25 2699 0
melbourne 4 1 25 3063 4082.0
melbourne 4 1 25 7171 0
melbourne 4 1 25 7226 0
melbourne 4 1 25 1949 0
melbourne 4 1 25 4533 2005.0
melbourne 4 1 25 3339 6991.0
melbourne 4 1 25 6128 8346.0
melbourne 4 1 25 8184 2206.0
melbourne 4 1 25 318 9090.0
melbourne 4 1 25 8197 6275.0
melbourne 4 1 25 6369 0
melbourne 4 1 25 4772 497.0
melbourne 4 1 25 6165 8651.0
melbourne 4 1 25 7281 0
melbourne 4 1 25 3083 1290.0
melbourne 4 1 25 137 7308.0
melbourne 4 1 25 7719 946.0
melbourne 4 1 25 3366 2694.25
melbourne 4 1 25 4842 1640.0
melbourne 4 1 25 2596 8699.75
melbourne 4 1 25 8710 0
melbourne 4 1 25 6345 0
melbourne 4 1 25 4458 0
melbourne 4 1 25 912 2824.0
melbourne 4 1 25 2542 3388.0
melbourne 4 1 25 5220 7978.0
melbourne 4 1 25 5208 6613.0
melbourne 4 1 25 3951 0
melbourne 4 1 25 2104 0
melbourne 4 1 25 142 8424.0
melbourne 4 1 25 6106 0
melbourne 4 1 25 5524 12236.75
melbourne 4 1 25 4071 0
melbourne 4 1 25 8145 2522.0
melbourne 4 1 25 6413 8102.0
melbourne 4 1 25 271 4879.5
melbourne 4 1 25 1612 5262.0
melbourne 4 1 25 4367 0
melbourne 4 1 25 1563 2926.0
melbourne 4 1 25 3034 6748.0
melbourne 4 1 25 8280 1836.0
melbourne 4 1 25 5450 0
melbourne 4 1 25 1403 8724.0
melbourne 4 1 25 7492 2767.5
melbourne 4 1 25 5050 2443.0
melbourne 4 1 25 803 3801.0
melbourne 4 1 25 3375 3664.0
melbourne 4 1 25 6522 539.0
melbourne 4 1 25 379 0
melbourne 4 1 25 5544 0
